AAON,AAON Inc. Common Stock
ONB,Old National Bancorp Common Stock
OPAL,OPAL Fuels Inc. Class A Common Stock
OPCH,Option Care Health Inc. Common Stock
OPEN,Opendoor Technologies Inc Common Stock
OPK,OPKO Health Inc. Common Stock
ORIC,Oric Pharmaceuticals Inc. Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
OSBC,Old Second Bancorp Inc. Common Stock
OSIS,OSI Systems Inc. Common Stock (DE)
OSPN,OneSpan Inc. Common Stock
OSTK,Overstock.com Inc. Common Stock
OSUR,OraSure Technologies Inc. Common Stock
OTEX,Open Text Corporation Common Shares
OTLK,Outlook Therapeutics Inc. Common Stock
OTTR,Otter Tail Corporation Common Stock
OXLC,Oxford Lane Capital Corp. Common Stock
OZK,Bank OZK Common Stock
PACW,PacWest Bancorp Common Stock
PANW,Palo Alto Networks Inc. Common Stock
PARA,Paramount Global Class B Common Stock
PATK,Patrick Industries Inc. Common Stock
PAYO,Payoneer Global Inc. Common Stock
PAYX,Paychex Inc. Common Stock
PCAR,PACCAR Inc. Common Stock
PCH,PotlatchDeltic Corporation Common Stock
PCRX,Pacira BioSciences Inc. Common Stock
PCT,PureCycle Technologies Inc. Common stock
PCVX,Vaxcyte Inc. Common Stock
PDCO,Patterson Companies Inc. Common Stock
PDFS,PDF Solutions Inc. Common Stock
PEBO,Peoples Bancorp Inc. Common Stock
PEGA,Pegasystems Inc. Common Stock
PENN,PENN Entertainment Inc. Common Stock
PEP,PepsiCo Inc. Common Stock
PERI,Perion Network Ltd. Ordinary Shares
PETQ,PetIQ Inc. Class A Common Stock
PFBC,Preferred Bank Common Stock
PFC,Premier Financial Corp. Common Stock
PGEN,Precigen Inc. Common Stock
PGNY,Progyny Inc. Common Stock
PHVS,Pharvaris N.V. Ordinary Shares
PI,Impinj Inc. Common Stock
PINC,Premier Inc. Class A Common Stock
PLAB,Photronics Inc. Common Stock
PLL,Piedmont Lithium Inc. Common Stock
PLMR,Palomar Holdings Inc. Common stock
PLRX,Pliant Therapeutics Inc. Common Stock
PLSE,Pulse Biosciences Inc Common Stock (DE)
PLTK,Playtika Holding Corp. Common Stock
PLUG,Plug Power Inc. Common Stock
PLUS,ePlus inc. Common Stock
PLXS,Plexus Corp. Common Stock
PMVP,PMV Pharmaceuticals Inc. Common Stock
PNT,POINT Biopharma Global Inc. Common Stock
PNTG,The Pennant Group Inc. Common Stock
PODD,Insulet Corporation Common Stock
POOL,Pool Corporation Common Stock
POWI,Power Integrations Inc. Common Stock
POWL,Powell Industries Inc. Common Stock
PPBI,Pacific Premier Bancorp Inc
PPC,Pilgrim's Pride Corporation Common Stock
PRAA,PRA Group Inc. Common Stock
PRFT,Perficient Inc. Common Stock
PRME,Prime Medicine Inc. Common Stock
PROC,Procaps Group S.A. Ordinary Shares
PROK,ProKidney Corp. Class A Ordinary Shares
PRVA,Privia Health Group Inc. Common Stock
PSMT,PriceSmart Inc. Common Stock
PTC,PTC Inc. Common Stock
PTCT,PTC Therapeutics Inc. Common Stock
PTEN,Patterson-UTI Energy Inc. Common Stock
PTLO,Portillo's Inc. Class A Common Stock
PTVE,Pactiv Evergreen Inc. Common stock
PUBM,PubMatic Inc. Class A Common Stock
PUYI,Puyi Inc. American Depository Shares
PYCR,Paycor HCM Inc. Common Stock
PYPL,PayPal Holdings Inc. Common Stock
QCOM,QUALCOMM Incorporated Common Stock
QCRH,QCR Holdings Inc. Common Stock
QDEL,QuidelOrtho Corporation Common Stock
QLYS,Qualys Inc. Common Stock
QNST,QuinStreet Inc. Common Stock
QRVO,Qorvo Inc. Common Stock
QTRX,Quanterix Corporation Common Stock
QURE,uniQure N.V. Ordinary Shares
RAPT,RAPT Therapeutics Inc. Common Stock
RBBN,Ribbon Communications Inc. Common Stock
RCEL,Avita Medical Inc. Common Stock
RCM,R1 RCM Inc. Common Stock
RDFN,Redfin Corporation Common Stock
RDNT,RadNet Inc. Common Stock
RDWR,Radware Ltd. Ordinary Shares
REAX,The Real Brokerage Inc. Common Shares
REG,Regency Centers Corporation Common Stock
RELY,Remitly Global Inc. Common Stock
REPL,Replimune Group Inc. Common Stock
RGEN,Repligen Corporation Common Stock
RGLD,Royal Gold Inc. Common Stock
RGNX,REGENXBIO Inc. Common Stock
RGP,Resources Connection Inc. Common Stock
RILY,B. Riley Financial Inc. Common Stock
RIOT,Riot Platforms Inc. Common Stock
RKLB,Rocket Lab USA Inc. Common Stock
RLAY,Relay Therapeutics Inc. Common Stock
RMBS,Rambus Inc. Common Stock
RMR,The RMR Group Inc. Class A Common Stock
RNA,Avidity Biosciences Inc. Common Stock
RNST,Renasant Corporation Common Stock
ROCK,Gibraltar Industries Inc. Common Stock
ROIV,Roivant Sciences Ltd. Common Shares
ROKU,Roku Inc. Class A Common Stock
ROP,Roper Technologies Inc. Common Stock
ROST,Ross Stores Inc. Common Stock
ROVR,Rover Group Inc. Class A Common Stock
RPD,Rapid7 Inc. Common Stock
RPTX,Repare Therapeutics Inc. Common Shares
RRBI,Red River Bancshares Inc. Common Stock
RSVR,Reservoir Media Inc. Common Stock
RUM,Rumble Inc. Class A Common Stock
RUN,Sunrun Inc. Common Stock
RVMD,Revolution Medicines Inc. Common Stock
RVNC,Revance Therapeutics Inc. Common Stock
RXST,RxSight Inc. Common Stock
RXT,Rackspace Technology Inc. Common Stock
SABR,Sabre Corporation Common Stock
SAGE,Sage Therapeutics Inc. Common Stock
SAIA,Saia Inc. Common Stock
SANA,Sana Biotechnology Inc. Common Stock
SANM,Sanmina Corporation Common Stock
SASR,Sandy Spring Bancorp Inc. Common Stock
SATS,EchoStar  Corporation Common Stock
SAVA,Cassava Sciences Inc. Common Stock
SBGI,Sinclair Inc. Class A Common Stock
SBLK,Star Bulk Carriers Corp. Common Shares
SBSI,Southside Bancshares Inc. Common Stock
SBT,Sterling Bancorp Inc. Common Stock
SBUX,Starbucks Corporation Common Stock
SCHL,Scholastic Corporation Common Stock
SCLX,Scilex Holding Company Common Stock
SCSC,ScanSource Inc. Common Stock
SCVL,Shoe Carnival Inc. Common Stock
SCWX,SecureWorks Corp. Class A Common Stock
SDGR,Schrodinger Inc. Common Stock
SEAT,Vivid Seats Inc. Class A Common Stock
SEIC,SEI Investments Company Common Stock
SFIX,Stitch Fix Inc. Class A Common Stock
SFM,Sprouts Farmers Market Inc. Common Stock
SGEN,Seagen Inc. Common Stock
SGHT,Sight Sciences Inc. Common Stock
SGML,Sigma Lithium Corporation Common Shares
SGRY,Surgery Partners Inc. Common Stock
SHBI,Shore Bancshares Inc Common Stock
SHC,Sotera Health Company Common Stock
SHCR,Sharecare Inc. Class A Common Stock
SHOO,Steven Madden Ltd. Common Stock
SHYF,The Shyft Group Inc. Common Stock
SIBN,SI-BONE Inc. Common Stock
SIGA,SIGA Technologies Inc. Common Stock
SILK,Silk Road Medical Inc. Common Stock
SIRI,Sirius XM Holdings Inc. Common Stock
SITM,SiTime Corporation Common Stock
SKYT,SkyWater Technology Inc. Common Stock
SKYW,SkyWest Inc. Common Stock
SLAB,Silicon Laboratories Inc. Common Stock
SLDP,Solid Power Inc. Class A Common Stock
SLGC,SomaLogic Inc. Class A Common Stock
SLM,SLM Corporation Common Stock
SLP,Simulations Plus Inc. Common Stock
SLRC,SLR Investment Corp. Common Stock
SLRN,ACELYRIN INC. Common Stock
SMBK,SmartFinancial Inc. Common Stock
SMCI,Super Micro Computer Inc. Common Stock
SMMT,Summit Therapeutics Inc. Common Stock
SMTC,Semtech Corporation Common Stock
SMTI,Sanara MedTech Inc. Common Stock
SNBR,Sleep Number Corporation Common Stock
SNDL,SNDL Inc. Common Shares
SNEX,StoneX Group Inc. Common Stock
SNPO,Snap One Holdings Corp. Common Stock
SNPS,Synopsys Inc. Common Stock
SNY,Sanofi ADS
SOFI,SoFi Technologies Inc. Common Stock
SONO,Sonos Inc. Common Stock
SOUN,SoundHound AI Inc Class A Common Stock
SOVO,Sovos Brands Inc. Common Stock
SP,SP Plus Corporation Common Stock
SPLK,Splunk Inc. Common Stock
SPRY,ARS Pharmaceuticals Inc. Common Stock
SPSC,SPS Commerce Inc. Common Stock
SPT,Sprout Social Inc Class A Common Stock
SPTN,SpartanNash Company Common Stock
SPWR,SunPower Corporation Common Stock
SRCE,1st Source Corporation Common Stock
SRCL,Stericycle Inc. Common Stock
SRDX,Surmodics Inc. Common Stock
SSB,SouthState Corporation Common Stock
SSRM,SSR Mining Inc. Common Stock
SSYS,Stratasys Ltd. Ordinary Shares (Israel)
STAA,STAAR Surgical Company Common Stock
STBA,S&T Bancorp Inc. Common Stock
STCN,Steel Connect Inc. Common Stock
STER,Sterling Check Corp. Common Stock
STGW,Stagwell Inc. Class A Common Stock
STKL,SunOpta Inc. Common Stock
STLD,Steel Dynamics Inc.
STNE,StoneCo Ltd. Class A Common Shares
STRA,Strategic Education Inc. Common Stock
SVC,Service Properties Trust Common Stock
SVRA,Savara Inc. Common Stock
SWAV,ShockWave Medical Inc. Common Stock
SWBI,Smith & Wesson Brands Inc. Common Stock
SWIM,Latham Group Inc. Common Stock
SWKS,Skyworks Solutions Inc. Common Stock
SYBT,Stock Yards Bancorp Inc. Common Stock
SYM,Symbotic Inc. Class A Common Stock
SYNH,Syneos Health Inc. Class A Common Stock
TASK,TaskUs Inc. Class A Common Stock
TBBK,The Bancorp Inc Common Stock
TBLA,Taboola.com Ltd. Ordinary Shares
TCBK,TriCo Bancshares Common Stock
TDUP,ThredUp Inc. Class A Common Stock
TECH,Bio-Techne Corp Common Stock
TENB,Tenable Holdings Inc. Common Stock
TER,Teradyne Inc. Common Stock
TERN,Terns Pharmaceuticals Inc. Common Stock
TFIN,Triumph Financial Inc. Common Stock
TFSL,TFS Financial Corporation Common Stock
TGTX,TG Therapeutics Inc. Common Stock
TH,Target Hospitality Corp. Common Stock
THRM,Gentherm Inc Common Stock
THRN,Thorne Healthtech Inc. Common Stock
THRY,Thryv Holdings Inc. Common Stock
TILE,Interface Inc. Common Stock
TIPT,Tiptree Inc. Common Stock
TITN,Titan Machinery Inc. Common Stock
TLRY,Tilray Brands Inc. Common Stock
TMC,TMC the metals company Inc. Common Stock
TMDX,TransMedics Group Inc. Common Stock
TMUS,T-Mobile US Inc. Common Stock
TNDM,Tandem Diabetes Care Inc. Common Stock
TNGX,Tango Therapeutics Inc.
TOWN,TowneBank Common Stock
TPG,TPG Inc. Class A Common Stock
TRDA,Entrada Therapeutics Inc. Common Stock
TRIN,Trinity Capital Inc. Common Stock
TRIP,TripAdvisor Inc. Common Stock
TRMB,Trimble Inc. Common Stock
TRMD,TORM plc Class A Common Stock
TRMK,Trustmark Corporation Common Stock
TRNS,Transcat Inc. Common Stock
TROO,TROOPS Inc. Ordinary Shares
TROW,T. Rowe Price Group Inc. Common Stock
TRS,TriMas Corporation Common Stock
TRST,TrustCo Bank Corp NY Common Stock
TRUP,Trupanion Inc. Common Stock
TRVG,trivago N.V. American Depositary Shares
TSCO,Tractor Supply Company Common Stock
TSLA,Tesla Inc. Common Stock
TTD,The Trade Desk Inc. Class A Common Stock
TTEC,TTEC Holdings Inc. Common Stock
TTEK,Tetra Tech Inc. Common Stock
TTGT,TechTarget Inc. Common Stock
TTMI,TTM Technologies Inc. Common Stock
TVTX,Travere Therapeutics Inc. Common Stock
TWKS,Thoughtworks Holding Inc. Common Stock
TXG,10x Genomics Inc. Class A Common Stock
TXRH,Texas Roadhouse Inc. Common Stock
TYRA,Tyra Biosciences Inc. Common Stock
UBSI,United Bankshares Inc. Common Stock
UCTT,Ultra Clean Holdings Inc. Common Stock
UDMY,Udemy Inc. Common Stock
UFCS,United Fire Group Inc. Common Stock
UFPI,UFP Industries Inc. Common Stock
UFPT,UFP Technologies Inc. Common Stock
ULTA,Ulta Beauty Inc. Common Stock
UMBF,UMB Financial Corporation Common Stock
UNIT,Uniti Group Inc. Common Stock
UPBD,Upbound Group Inc. Common Stock
UPST,Upstart Holdings Inc. Common stock
UPWK,Upwork Inc. Common Stock
URBN,Urban Outfitters Inc. Common Stock
URGN,UroGen Pharma Ltd. Ordinary Shares
UTMD,Utah Medical Products Inc. Common Stock
VALN,Valneva SE American Depositary Shares
VALU,Value Line Inc. Common Stock
VBTX,Veritex Holdings Inc. Common Stock
VC,Visteon Corporation Common Stock
VCEL,Vericel Corporation Common Stock
VCYT,Veracyte Inc. Common Stock
VECO,Veeco Instruments Inc. Common Stock
VEON,VEON Ltd. ADS
VERV,Verve Therapeutics Inc. Common Stock
VERX,Vertex Inc. Class A Common Stock
VIAV,Viavi Solutions Inc. Common Stock
VICR,Vicor Corporation Common Stock
VIR,Vir Biotechnology Inc. Common Stock
VITL,Vital Farms Inc. Common Stock
VKTX,Viking Therapeutics Inc. Common Stock
VLY,Valley National Bancorp Common Stock
VMD,Viemed Healthcare Inc. Common Shares
VMEO,Vimeo Inc. Common Stock
VNDA,Vanda Pharmaceuticals Inc. Common Stock
VNOM,Viper Energy Partners LP Common Unit
VRDN,Viridian Therapeutics Inc. Common Stock
VREX,Varex Imaging Corporation Common Stock
VRNS,Varonis Systems Inc. Common Stock
VRNT,Verint Systems Inc. Common Stock
VRSK,Verisk Analytics Inc. Common Stock
VRSN,VeriSign Inc. Common Stock
VSAT,ViaSat Inc. Common Stock
VSEC,VSE Corporation Common Stock
VTNR,Vertex Energy Inc Common Stock
VTRS,Viatris Inc. Common Stock
VTRU,Vitru Limited Common Shares
VTYX,Ventyx Biosciences Inc. Common Stock
VYGR,Voyager Therapeutics Inc. Common Stock
WABC,Westamerica Bancorporation Common Stock
WAFD,Washington Federal Inc. Common Stock
WALD,Waldencast plc Class A Ordinary Share
WDAY,Workday Inc. Class A Common Stock
WDC,Western Digital Corporation Common Stock
WDFC,WD-40 Company Common Stock
WEN,Wendy's Company (The) Common Stock
WERN,Werner Enterprises Inc. Common Stock
WEST,Westrock Coffee Company Common Stock
WHF,WhiteHorse Finance Inc. Common Stock
WINA,Winmark Corporation Common Stock
WING,Wingstop Inc. Common Stock
WIRE,Encore Wire Corporation Common Stock
WIX,Wix.com Ltd. Ordinary Shares
WKME,WalkMe Ltd. Ordinary Shares
WLDN,Willdan Group Inc. Common Stock
WSBC,WesBanco Inc. Common Stock
WSFS,WSFS Financial Corporation Common Stock
WTBA,West Bancorporation Common Stock
WULF,TeraWulf Inc. Common Stock
WVE,Wave Life Sciences Ltd. Ordinary Shares
WW,WW International Inc. Common Stock
WWD,Woodward Inc. Common Stock
WYNN,Wynn Resorts Limited Common stock
ZEUS,Olympic Steel Inc. Common Stock
ZG,Zillow Group Inc. Class A Common Stock
ZI,ZoomInfo Technologies Inc Common Stock
ZIMV,ZimVie Inc. Common Stock
ZION,Zions Bancorporation N.A. Common Stock
ZS,Zscaler Inc. Common Stock
ZUMZ,Zumiez Inc. Common Stock
ZYME,Zymeworks Inc. Common Stock
